neighbourhood,room_type,accommodates,bedrooms,beds,price,availability_30,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,199,0,7,93,t,strict,1.29
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,99,20,5,100,f,flexible,1.06
"Dupont Circle, Connecticut Avenue/K Street",Private room,4,1,3,185,17,1,80,f,strict,0.31
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,2,139,11,49,93,f,moderate,2.57
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,6,1,3,225,24,6,93,f,strict,0.53
"Dupont Circle, Connecticut Avenue/K Street",Shared room,6,1,6,36,9,7,97,f,strict,5.12
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,94,1,4,100,f,moderate,1.24
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,169,30,12,97,f,strict,0.71
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,175,0,1,80,f,moderate,0.32
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,150,29,2,90,f,moderate,0.14
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,180,17,2,90,f,flexible,2
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,115,18,28,93,t,flexible,1.78
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,85,0,2,90,f,moderate,0.67
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,69,0,2,100,f,flexible,1.36
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,99,0,9,96,f,flexible,0.5
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,149,4,30,94,f,strict,1.74
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,100,0,1,100,f,moderate,1
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,130,1,100,98,f,strict,7.18
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,90,8,41,86,t,flexible,2.38
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,135,16,23,97,f,flexible,4.04
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,150,4,5,96,f,strict,5
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,89,0,42,95,f,flexible,3.32
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,180,1,1,100,f,moderate,1
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,95,0,1,100,f,flexible,1
"Dupont Circle, Connecticut Avenue/K Street",Private room,4,1,1,149,0,34,93,f,strict,1.22
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,90,10,4,100,f,moderate,3
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,149,14,1,100,f,strict,1
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,74,10,7,91,f,moderate,0.62
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,5,1,2,170,0,6,100,f,strict,0.35
"Dupont Circle, Connecticut Avenue/K Street",Private room,3,1,2,190,0,8,86,f,flexible,0.78
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,109,16,45,88,f,moderate,2.93
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,105,4,5,96,f,strict,0.92
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,219,28,12,98,f,strict,0.98
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,89,4,6,90,f,strict,1.37
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,120,0,3,100,f,flexible,2
"Dupont Circle, Connecticut Avenue/K Street",Shared room,6,1,6,36,12,7,94,f,strict,4.04
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,120,20,7,100,f,strict,1.53
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,100,0,10,98,f,flexible,0.6
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,99,0,18,83,f,strict,2.03
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,3,98,0,20,93,f,moderate,0.5
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,2,143,0,10,96,f,strict,0.9
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,145,5,60,99,f,moderate,2.4
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,120,18,11,96,f,strict,1.9
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,120,17,9,95,f,strict,1.64
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,85,14,24,81,f,moderate,1.64
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,125,4,6,100,f,moderate,0.9
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,2,142,1,74,96,f,strict,8.64
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,75,2,2,90,f,strict,2
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,2,136,0,41,98,f,strict,7.37
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,175,26,31,91,f,flexible,3.1
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,122,2,3,100,f,moderate,1.76
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,177,17,4,100,f,strict,1.04
"Dupont Circle, Connecticut Avenue/K Street",Shared room,2,1,1,100,21,15,96,f,strict,2.74
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,105,1,12,93,t,moderate,0.87
"Dupont Circle, Connecticut Avenue/K Street",Private room,10,1,5,99,6,2,90,f,strict,0.29
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,100,0,2,100,f,moderate,0.14
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,120,7,4,90,f,strict,0.63
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,95,8,27,92,f,strict,4.24
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,150,0,4,100,f,moderate,0.14
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,160,19,1,80,f,flexible,0.63
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,79,0,4,89,f,flexible,0.15
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,85,26,14,93,t,strict,1.2
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,90,9,3,93,f,strict,0.37
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,100,17,25,94,f,strict,1.53
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,1,215,8,34,96,f,strict,3.07
"Dupont Circle, Connecticut Avenue/K Street",Shared room,1,1,1,95,0,74,95,f,moderate,1.1
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,1,120,0,3,100,f,flexible,0.16
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,105,0,8,98,f,moderate,0.53
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,3,176,0,20,93,f,strict,3.82
"Dupont Circle, Connecticut Avenue/K Street",Private room,3,1,1,110,0,8,93,f,moderate,0.69
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,1,1,1,65,0,1,100,f,strict,0.71
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,110,2,4,90,t,moderate,0.55
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,119,11,10,93,f,flexible,1.47
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,105,22,6,80,f,strict,2
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,70,0,2,100,f,flexible,1.82
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,200,0,4,100,f,moderate,0.61
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,215,0,65,95,f,strict,0.96
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,135,10,26,94,t,moderate,1.04
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,120,0,1,100,f,flexible,1
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,90,0,8,85,f,flexible,3.29
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,1,259,30,1,80,f,super_strict_30,0.21
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,125,5,5,88,f,strict,0.25
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,125,10,18,96,f,strict,0.68
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,84,0,3,87,f,flexible,3
"Dupont Circle, Connecticut Avenue/K Street",Private room,4,1,2,99,5,170,95,f,strict,5.35
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,100,0,11,95,f,strict,1.07
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,149,3,46,91,t,moderate,7.08
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,168,2,150,94,f,moderate,6.18
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,99,0,24,97,f,moderate,1.04
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,121,8,1,60,f,flexible,1
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,95,22,19,99,f,flexible,1.07
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,125,4,18,93,f,moderate,4.09
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,89,10,14,93,f,strict,0.76
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,2,175,12,19,84,f,flexible,3.35
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,75,0,6,90,f,strict,0.25
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,89,1,6,97,f,strict,3.33
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,120,0,1,100,f,moderate,1
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,125,7,10,100,f,strict,2.83
"Dupont Circle, Connecticut Avenue/K Street",Private room,4,1,2,90,19,56,95,f,strict,3.27
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,129,10,8,100,f,moderate,1.58
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,175,2,48,89,t,moderate,9.47
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,200,3,1,100,f,flexible,0.23
"Dupont Circle, Connecticut Avenue/K Street",Shared room,1,1,1,40,1,104,95,f,strict,2.75
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,105,1,239,92,f,strict,4.95
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,95,5,10,98,f,strict,1.73
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,148,4,94,92,f,moderate,7.21
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,68,1,3,93,f,flexible,3
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,79,21,2,100,f,strict,2
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,140,1,57,99,f,moderate,4.86
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,107,1,17,96,f,moderate,1.14
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,199,0,16,100,f,moderate,1.14
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,105,6,9,93,f,strict,1.55
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,168,0,23,96,f,moderate,1.2
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,6,1,2,169,7,119,93,f,strict,4.12
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,78,4,1,100,f,flexible,0.88
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,120,1,13,98,f,moderate,0.73
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,90,4,3,90,f,flexible,0.27
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,85,0,127,84,f,strict,4.1
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,150,1,6,100,f,moderate,0.4
"Dupont Circle, Connecticut Avenue/K Street",Private room,3,1,1,90,0,18,92,f,flexible,1.5
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,99,19,31,95,t,strict,1.52
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,174,4,25,93,f,moderate,3.44
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,99,0,12,93,f,strict,0.51
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,100,7,4,80,f,flexible,0.86
"Dupont Circle, Connecticut Avenue/K Street",Shared room,1,1,1,41,21,1,100,f,flexible,1
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,2,80,9,1,80,f,flexible,1
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,150,3,9,91,f,flexible,0.3
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,100,0,17,96,f,flexible,1.13
"Dupont Circle, Connecticut Avenue/K Street",Private room,3,1,2,159,7,5,85,f,strict,0.36
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,145,3,32,98,t,strict,2.39
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,110,17,1,80,f,moderate,1
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,215,23,3,93,f,flexible,0.67
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,68,0,2,100,f,flexible,1.62
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,129,6,37,93,t,moderate,3.43
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,120,27,11,91,f,strict,1.84
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,75,2,12,88,f,strict,0.9
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,140,12,36,98,f,strict,2.07
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,1,125,0,10,88,f,flexible,0.78
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,99,0,6,97,f,flexible,0.58
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,250,0,21,99,f,moderate,2.14
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,100,17,19,95,f,strict,2.95
"Dupont Circle, Connecticut Avenue/K Street",Private room,3,1,2,209,17,5,92,f,strict,0.42
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,1,196,11,19,100,f,strict,5.43
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,83,13,64,93,t,strict,2.2
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,60,3,6,87,f,flexible,1.09
"Dupont Circle, Connecticut Avenue/K Street",Private room,1,1,1,67,5,29,97,f,strict,1.39
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,95,5,15,89,f,strict,2.28
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,150,1,12,95,f,moderate,0.48
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,135,0,18,96,f,flexible,1.5
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,135,0,18,92,f,moderate,0.97
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,179,5,10,98,f,strict,2.22
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,220,17,5,88,f,moderate,0.43
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,99,28,8,98,f,moderate,0.5
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,99,6,64,95,t,moderate,1.55
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,1,115,1,11,89,f,strict,0.72
"Dupont Circle, Connecticut Avenue/K Street",Private room,2,1,1,105,4,5,100,f,strict,0.89
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,159,6,47,92,f,moderate,2.55
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,85,7,114,88,f,strict,3.71
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,137,2,5,92,f,moderate,5
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,89,7,80,80,f,moderate,3.64
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,85,3,206,87,f,strict,4.45
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,140,0,13,91,f,flexible,3.9
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,125,3,44,96,f,strict,2.46
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,3,1,1,200,13,24,86,f,moderate,1.71
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,99,0,15,97,f,flexible,1.32
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,160,15,1,80,f,strict,1
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,130,0,11,100,f,moderate,1.01
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,168,1,152,95,f,moderate,6.21
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,98,3,2,100,f,flexible,1.71
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,2,1,1,134,2,69,97,f,strict,5.35
"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,4,1,2,100,0,9,93,f,moderate,0.75
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,3,1,2,95,0,31,98,f,moderate,1.08
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,98,1,53,91,f,moderate,1
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,1,1,1,70,0,3,100,f,flexible,2.09
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,3,1,1,130,0,7,100,f,flexible,0.54
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,2,140,16,9,93,f,moderate,0.92
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,75,0,2,100,f,flexible,1.43
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,145,6,3,80,f,strict,1.2
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,1,1,1,100,16,21,91,t,moderate,2.83
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,3,1,1,70,0,2,100,f,strict,0.59
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,77,30,3,80,t,strict,0.28
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,95,20,3,70,f,flexible,0.39
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,65,10,31,87,f,flexible,6.28
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,1,1,1,70,11,15,95,f,moderate,8.65
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,150,25,24,99,f,strict,0.87
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,75,16,8,93,f,flexible,1
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,1,99,6,122,92,t,strict,4.21
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,94,19,4,95,f,strict,0.16
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,140,14,20,99,f,moderate,3
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,65,9,27,84,f,flexible,6.04
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,100,0,1,100,f,strict,0.4
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,3,1,2,135,13,42,87,f,moderate,3.23
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,5,1,2,125,1,7,90,f,flexible,2.92
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,135,29,1,100,f,strict,0.27
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,1,1,1,35,0,3,100,f,strict,0.18
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,100,25,7,97,f,strict,0.92
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,60,0,8,90,t,strict,4.44
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,135,24,1,100,f,strict,0.24
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,95,0,4,96,f,moderate,0.23
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,105,24,4,90,f,strict,0.34
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,1,98,8,2,100,f,strict,0.92
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,78,23,4,98,f,strict,0.15
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,80,5,31,98,f,flexible,1.35
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,1,1,1,65,12,3,80,t,flexible,0.62
"Howard University, Le Droit Park, Cardozo/Shaw",Shared room,1,1,1,23,23,11,86,f,strict,0.29
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,1,175,30,17,86,f,strict,1.05
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,75,3,26,96,f,moderate,9.87
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,115,6,2,90,t,flexible,2
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,3,1,2,125,0,1,100,f,moderate,0.47
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,145,5,65,98,f,moderate,2.27
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,1,135,23,36,97,f,moderate,1.49
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,150,26,18,96,f,moderate,0.67
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,1,1,1,95,12,16,90,f,strict,2.4
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,99,21,18,100,f,moderate,1.21
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,2,130,9,37,99,f,flexible,4.68
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,1,175,2,8,90,f,moderate,0.72
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,65,5,8,95,t,moderate,0.63
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,2,150,5,23,100,t,moderate,3.52
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,98,0,4,95,f,strict,2.18
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,105,0,17,94,f,strict,0.89
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,2,88,7,11,93,f,strict,0.31
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,3,1,1,109,8,88,93,f,strict,2.81
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,90,19,39,95,f,strict,3.71
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,2,120,0,8,100,f,moderate,2.14
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,3,1,1,120,3,9,91,f,moderate,0.95
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,1,99,3,41,93,f,strict,0.99
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,6,1,2,225,25,2,50,f,strict,0.36
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,50,5,3,93,f,moderate,3
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,3,1,2,109,0,4,93,f,moderate,3.64
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,75,11,19,96,f,moderate,8.38
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,115,1,14,91,f,moderate,1.89
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,75,1,12,98,f,flexible,0.39
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,1,1,1,32,0,1,40,f,strict,0.91
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,1,1,1,90,22,2,100,f,strict,0.13
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,85,22,23,90,f,strict,0.99
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,110,26,5,100,f,flexible,1.1
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,156,0,3,100,f,moderate,0.24
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,89,0,1,80,f,moderate,0.28
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,95,0,4,95,f,flexible,2.07
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,180,3,15,99,f,strict,0.56
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,119,0,4,100,f,moderate,0.33
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,98,0,7,100,f,flexible,3.5
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,90,10,11,86,f,moderate,2.95
"Howard University, Le Droit Park, Cardozo/Shaw",Private room,2,1,1,75,15,3,93,f,strict,3
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,1,110,0,49,92,f,strict,1.08
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,4,1,2,155,16,28,93,f,moderate,3.43
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,2,95,7,11,89,f,moderate,1.69
"Howard University, Le Droit Park, Cardozo/Shaw",Entire home/apt,2,1,1,125,5,2,100,f,strict,0.66
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Private room,4,1,4,99,17,2,90,f,strict,1.62
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Shared room,4,1,4,49,25,11,98,f,strict,2.84
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Entire home/apt,4,1,1,100,24,2,100,f,flexible,0.43
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Private room,3,1,1,92,24,17,82,f,strict,3.42
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Private room,2,1,1,119,3,21,100,f,moderate,1.75
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Shared room,2,1,1,79,8,14,100,f,strict,3.16
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Entire home/apt,4,1,2,110,7,2,100,f,strict,2
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Shared room,4,1,4,49,30,12,92,f,strict,2.45
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Private room,2,1,1,150,14,2,100,f,flexible,2
"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Entire home/apt,3,1,1,99,4,15,99,f,moderate,3.78
